ID,mon,stay,freq,plan,purp1,purp2,ad,ad1,ad2,ad3,ad4,ad5,ad6,ad7,ad8,ad9,ad10,ad_impact1,ad_impact2,ad_impact3,info1,info2,info3,info4,info5,info6,info7,info8,info9,att01,att02,att03,att04,att05,att06,att07,att08,att09,att10,att11,att12,att13,att14,att15,att16,type,gs,gus1,gus2,gus3,gus4,gus5,gus6,gus7,gus8,btimes,bprice,local1,local2,local3,local4,local5,slp1,hsat,slp2,bsat,slp3,slp4,slp5,slp6,slp7,prepay,pmoney,pdollar,airf,pit1,pm1,pit2,pm2,pit3,pm3,pit4,pm4,pit5,pm5,pit6,pm6,money,dollar,money1,p1,money1_1,p1_1,money2,p2,money3,p3,money4,p4,money5,p5,money6,p6,m601,m602,m603,m604,m605,m606,m607,m608,m609,m610,utax,taxc,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,act18,act19,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,spfav,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,ts,tus1,tus2,tus3,tus4,tus5,tus6,tus7,tus8,tus9,tus10,tus11,tus12,again,agwhy,recom,s11,s12,s13,s14,s21,s22,s23,s31,s32,s33,s34,sall,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,lc,nation,nation_o,resid,resid_o,age,educ,income,occup,gender
1,1,4,2,30,1,0,0,9,9,9,9,9,9,9,9,9,9,88,88,88,9,9,9,9,9,9,9,9,9,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,1,5,0,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,11600,港幣,8000,3,"4,500",3,1500,3,500,3,300,3,250,3,1050,1,0,0,0,0,750,0,0,0,300,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,52,330,340,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,0,1,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,2,2,4,4,6,3,6,2,1
2,1,4,3,30,1,0,0,9,9,9,9,9,9,9,9,9,9,88,88,88,9,9,9,9,9,9,9,9,9,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,1,4,0,9,0,0,0,0,0,1,3000,港幣,1,1,2100,0,0,0,0,0,0,0,0,0,0,12000,新台幣,,,,,4200,1,2400,1,,,1200,1,4200,1,0,0,0,2100,2100,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,8,9,13,65,66,67,77,63,803,808,,,,,,,,,,,,,,,,,,,,,,,,77,0,1,1,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,2,4,4,3,2,3,4,2
3,1,1,3,15,1,0,0,9,9,9,9,9,9,9,9,9,9,88,88,88,9,9,9,9,9,9,9,9,9,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,1,4,0,9,0,0,0,0,0,1,750,港幣,0,1,750,0,0,0,0,0,0,0,0,0,0,5000,港幣,,,,,1000,2,250,2,,,250,2,3500,2,2970,0,0,0,530,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,2,4,4,5,1,1,1,2
4,1,3,1,30,1,0,0,9,9,9,9,9,9,9,9,9,9,88,88,88,9,9,9,9,9,9,9,9,9,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,1,3,0,9,0,0,0,0,0,1,1500,港幣,0,1,1500,0,0,0,0,0,0,0,0,0,0,1700,港幣,,,,,600,1,250,1,,,200,1,650,1,0,0,150,0,500,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,2,3,5,,65,77,801,803,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,2,4,4,5,2,3,4,1
5,1,3,1,45,4,1,1,1,0,0,0,1,1,0,0,0,0,6,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,1,3,0,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,6680,新台幣,1830,1,"1,830",1,2000,1,1000,1,,,600,1,1250,1,0,0,0,0,1000,0,0,0,250,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,4,5,8,41,57,63,804,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,60,60,60,60,1,2,1,11,2
6,1,3,4,30,4,0,9,9,9,9,9,9,9,9,9,9,9,88,88,88,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,0,9,0,9,1,0,0,0,0,0,,,,,,,,,,,,,,,,12300,新台幣,,,,,3300,1,2250,1,1500,1,750,1,4500,1,0,0,0,0,1800,0,0,0,2700,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,5,5,5,5,5,5,5,5,5,5,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,50,50,50,50,6,2,1,10,2
7,1,4,2,30,1,0,1,1,1,0,0,1,0,0,0,0,0,1,5,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,1,4,0,9,0,0,0,0,0,1,174,美元,0,1,86,1,44,0,0,1,44,0,0,0,0,15790,新台幣,4990,1,"6,085",1,3700,1,2300,1,,,1200,1,3600,1,0,0,0,0,2000,1600,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,4,5,,65,66,67,68,71,77,801,803,,,,,,,,,,,,,,,,,,,,,,,77,0,1,1,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,4,4,5,3,5,5,5,5,5,5,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,53,53,53,53,5,1,2,5,2
8,1,3,2,30,1,0,1,0,1,0,1,1,0,0,0,0,0,5,2,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,5,9,9,9,9,9,9,9,9,9,99,9,9,9,9,9,9,1,4,0,9,0,0,0,0,0,0,,,,,,,,,,,,,,,,22100,新台幣,4900,1,"4,900",1,3300,1,1500,1,,,8000,1,4400,1,2200,0,0,0,1000,0,0,0,1200,0,0,,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,5,8,10,63,801,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,2,4,4,5,2,3,5,1
9,1,4,2,30,1,0,0,9,9,9,9,9,9,9,9,9,9,88,88,88,9,9,9,9,9,9,9,9,9,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,3,9,9,9,9,9,1,4,0,9,0,0,0,0,0,1,3740,港幣,1,1,1050,1,530,1,400,1,530,1,140,0,0,11230,新台幣,,,,,3180,1,770,1,,,440,1,6840,1,2780,0,0,0,2080,0,0,0,1980,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,30,65,66,77,145,801,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,0,0,1,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,4,5,5,5,5,5,5,5,5,5,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,2,4,4,2,2,1,11,1
10,1,4,2,30,4,1,0,9,9,9,9,9,9,9,9,9,9,88,88,88,9,9,9,9,9,9,9,9,9,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,4,9,9,9,9,9,9,9,9,9,99,9,0,0,1,0,0,0,9,0,9,1,0,0,0,0,0,,,,,,,,,,,,,,,,13100,新台幣,,,,,4200,1,2100,1,2800,1,1300,1,2700,1,0,0,0,1200,1500,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,5,13,,65,67,77,803,808,,,,,,,,,,,,,,,,,,,,,,,,,,67,0,0,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,0,5,5,4,5,5,5,5,5,5,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,53,53,53,53,2,2,2,4,2
