id,nation,resid,age,income,educ,occup,gender,area,nation_o,resid_o
1060001,1,1,3,4,2,4,2,1,1,1
1060002,2,2,5,2,2,2,2,1,2,2
1060003,2,2,2,8,2,11,2,1,2,2
1060004,1,1,6,5,2,2,1,1,1,1
1060005,2,2,2,3,2,4,2,1,2,2
1060006,1,1,6,8,2,12,1,1,1,1
1060007,1,1,6,6,1,1,1,1,1,1
1060008,1,1,7,7,2,1,1,1,1,1
1060009,2,2,3,4,3,2,2,1,2,2
1060010,51,51,3,5,3,2,2,1,51,51
1060011,51,51,5,5,1,5,1,1,51,51
1060012,1,1,2,5,2,4,2,1,1,1
1060013,1,1,4,8,2,10,2,1,1,1
1060014,1,1,2,8,2,11,2,1,1,1
1060015,1,1,5,8,2,10,2,1,1,1
1060016,1,1,4,5,1,1,1,1,1,1
1060017,1,1,2,8,2,11,2,1,1,1
1060018,51,51,3,5,2,2,2,1,51,51
1060019,51,51,3,5,2,10,2,1,51,51
1060020,2,2,4,3,2,1,2,1,2,2
1060021,2,2,4,3,1,4,1,1,2,2
1060022,1,1,5,4,1,4,2,1,1,1
1060023,1,1,6,8,2,10,2,1,1,1
1060024,1,1,6,6,1,1,1,1,1,1
1060025,1,1,4,5,2,2,1,1,1,1
1060026,1,1,5,7,1,1,2,1,1,1
1060027,1,1,2,5,2,1,2,1,1,1
1060028,1,1,7,3,2,12,1,1,1,1
1060029,2,2,4,6,3,1,1,1,2,2
1060030,2,2,1,8,2,11,2,1,2,2
1060031,1,1,2,8,2,11,2,1,1,1
1060032,1,1,2,8,2,11,2,1,1,1
1060033,1,1,2,5,2,5,2,1,1,1
1060034,1,1,5,7,2,1,1,1,1,1
1060035,2,2,3,3,3,2,2,1,2,2
1060036,2,2,2,1,2,2,2,1,2,2
1060037,2,2,2,4,2,1,1,1,2,2
1060038,1,1,5,6,2,1,1,1,1,1
1060039,2,2,2,2,2,2,1,1,2,2
1060040,1,1,4,4,2,4,2,1,1,1
1060041,1,1,3,4,2,2,1,1,1,1
1060042,1,1,5,5,1,5,1,1,1,1
1060043,51,51,5,8,2,10,2,1,51,51
1060044,51,51,5,8,2,10,2,1,51,51
1060045,1,1,2,4,2,4,2,1,1,1
1060046,2,2,3,4,3,1,1,1,2,2
1060047,2,2,4,6,1,1,1,1,2,2
1060048,2,2,2,2,2,4,2,1,2,2
1060049,1,1,2,4,2,4,2,1,1,1
1060050,1,1,6,8,2,10,2,1,1,1
1060051,1,1,2,7,3,2,1,1,1,1
1060052,1,1,2,4,2,4,2,1,1,1
1060053,1,1,3,5,2,3,1,1,1,1
1060054,1,1,4,5,2,1,1,1,1,1
1060055,51,51,5,8,1,10,2,1,51,51
1060056,51,51,2,5,2,4,2,1,51,51
1060057,1,1,5,5,99,1,1,1,1,1
1060058,1,1,4,5,2,4,2,1,1,1
1060059,2,2,2,8,2,11,2,1,2,2
1060060,1,1,4,7,2,1,1,1,1,1
1060061,50,50,3,2,2,5,2,1,50,50
1060062,2,3,3,5,2,2,2,1,2,3
1060063,2,3,4,4,2,2,1,1,2,3
1060064,2,2,6,8,2,12,2,1,2,2
1060065,2,2,7,8,2,12,1,1,2,2
1060066,2,2,2,8,2,11,1,1,2,2
1060067,2,2,7,8,2,12,2,1,2,2
1060068,2,2,4,2,1,5,1,1,2,2
1060069,2,2,3,3,2,5,2,1,2,2
1060070,55,55,3,3,3,2,2,1,55,55
1060071,70,70,2,3,2,2,2,1,71,71
1060072,90,90,4,3,2,3,1,1,901,901
1060073,60,60,4,6,3,2,1,1,60,60
1060074,60,60,6,6,2,3,1,1,60,60
1060075,70,70,4,7,2,2,1,1,72,73
